image,result,label
00001.jpg,0.774181,0
00003.jpg,0.120425,0
00005.jpg,1.24615,1
00007.jpg,0.936618,1
00009.jpg,-1.08466,0
00011.jpg,1.2167,0
00013.jpg,0.673086,0
00015.jpg,1.03423,1
00017.jpg,0.477058,1
00019.jpg,0.801133,0
00021.jpg,0.977063,0
00023.jpg,0.433644,0
00025.jpg,0.700945,1
00027.jpg,0.580911,1
00029.jpg,0.964015,1
00031.jpg,0.153271,1
00033.jpg,0.582206,1
00035.jpg,1.07144,1
00037.jpg,1.51161,0
00039.jpg,0.732019,1
00041.jpg,-0.786891,0
00043.jpg,-0.668665,0
00045.jpg,0.889239,0
00047.jpg,1.35722,1
00049.jpg,0.67516,0
00051.jpg,1.05381,1
00053.jpg,1.24169,1
00055.jpg,0.981176,1
00057.jpg,0.763825,1
00059.jpg,1.06189,1
00061.jpg,1.01885,1
00063.jpg,1.06556,1
00065.jpg,0.45967,0
00067.jpg,1.07779,0
00069.jpg,0.997801,1
00071.jpg,1.24228,1
00073.jpg,1.20973,1
00075.jpg,1.18336,1
00077.jpg,0.813366,1
00079.jpg,1.09139,0
00081.jpg,1.37581,0
00083.jpg,1.22297,1
00085.jpg,1.31831,1
00087.jpg,0.892934,1
00089.jpg,1.01802,1
00091.jpg,0.688951,1
00093.jpg,0.542292,0
00095.jpg,1.21247,0
00097.jpg,0.820701,1
00099.jpg,-0.232664,0
00101.jpg,-0.899876,0
00103.jpg,-0.883992,0
00105.jpg,-0.960593,0
00107.jpg,0.952177,1
00109.jpg,1.26644,1
00111.jpg,0.755795,1
00113.jpg,0.729094,0
00115.jpg,0.989132,1
00117.jpg,0.815277,1
00119.jpg,1.28983,1
00121.jpg,0.583348,0
00123.jpg,1.00885,1
00125.jpg,1.10467,0
00127.jpg,0.968774,1
00129.jpg,1.06336,0
00131.jpg,0.13379,1
00133.jpg,1.05956,1
00135.jpg,1.15294,1
00137.jpg,0.729933,1
00139.jpg,1.14999,1
00141.jpg,1.25377,1
00143.jpg,1.34485,1
00145.jpg,0.580924,0
00147.jpg,1.11477,1
00149.jpg,1.09955,1
00151.jpg,1.05128,1
00153.jpg,0.386756,1
00155.jpg,1.31628,1
00157.jpg,0.867162,0
00159.jpg,0.774493,1
00161.jpg,0.737365,1
00163.jpg,1.31109,0
00165.jpg,0.871746,1
00167.jpg,1.04812,0
00169.jpg,0.360435,1
00171.jpg,1.23996,1
00173.jpg,0.449859,1
00175.jpg,0.86453,1
00177.jpg,1.15412,0
00179.jpg,0.538863,1
00181.jpg,0.746575,1
00183.jpg,0.880558,1
00185.jpg,0.823327,0
00187.jpg,1.01902,1
00189.jpg,0.932399,1
00191.jpg,1.10838,1
00193.jpg,0.516925,1
00195.jpg,0.171346,0
00197.jpg,1.07669,0
00199.jpg,1.33349,1
00201.jpg,0.503201,1
00203.jpg,0.271184,0
00205.jpg,0.529179,0
00207.jpg,0.517752,1
00209.jpg,1.372,1
00211.jpg,1.16231,1
00213.jpg,0.804961,0
00215.jpg,1.07947,1
00217.jpg,0.948199,0
00219.jpg,-0.67055,0
00221.jpg,1.48461,1
00223.jpg,0.618075,1
00225.jpg,1.63364,1
00227.jpg,1.02475,1
00229.jpg,0.707104,1
00231.jpg,0.720842,1
00233.jpg,0.378698,0
00235.jpg,-0.721687,0
00237.jpg,1.02922,1
00239.jpg,0.908003,1
00241.jpg,0.918768,0
00243.jpg,1.24246,1
00245.jpg,1.02074,0
00247.jpg,1.28573,1
00249.jpg,1.07656,0
00251.jpg,1.06708,0
00253.jpg,0.610876,1
00255.jpg,0.0268011,0
00257.jpg,0.329833,0
00259.jpg,0.321873,0
00261.jpg,-0.00490215,0
00263.jpg,0.764855,1
00265.jpg,0.267051,0
00267.jpg,0.977924,0
00269.jpg,1.13588,0
00271.jpg,1.38082,0
00273.jpg,1.23327,1
00275.jpg,0.90162,1
00277.jpg,0.850641,0
00279.jpg,0.889993,1
00281.jpg,-0.086596,0
00283.jpg,0.183256,1
00285.jpg,0.664314,1
00287.jpg,0.925427,1
00289.jpg,1.2811,1
00291.jpg,0.555633,1
00293.jpg,0.973741,1
00295.jpg,0.606339,0
00297.jpg,0.824565,1
00299.jpg,0.798832,1
00301.jpg,0.995689,1
00303.jpg,1.06611,1
00305.jpg,0.859233,1
00307.jpg,0.910759,1
00309.jpg,1.48367,1
00311.jpg,0.883992,1
00313.jpg,0.440151,1
00315.jpg,0.186577,0
00317.jpg,1.08783,0
00319.jpg,1.14994,1
00321.jpg,1.3061,1
00323.jpg,0.942951,1
00325.jpg,0.930861,1
00327.jpg,1.07675,1
00329.jpg,0.947648,1
00331.jpg,1.06382,1
00333.jpg,1.11238,1
00335.jpg,1.09481,1
00337.jpg,1.04289,1
00339.jpg,1.16189,1
00341.jpg,1.02449,1
00343.jpg,0.747663,1
00345.jpg,0.314109,0
00347.jpg,0.491799,1
00349.jpg,-0.720151,0
00351.jpg,0.752902,1
00353.jpg,1.42546,1
00355.jpg,1.02585,1
00357.jpg,1.45563,1
00359.jpg,1.13214,1
00361.jpg,0.645395,1
