image,result,label
00001.jpg,0.790281,0
00003.jpg,0.0606733,0
00005.jpg,1.06111,1
00007.jpg,1.05095,1
00009.jpg,-1.08987,0
00011.jpg,1.01453,0
00013.jpg,0.691375,0
00015.jpg,0.983991,1
00017.jpg,0.548607,1
00019.jpg,0.809276,0
00021.jpg,1.01419,0
00023.jpg,0.243446,0
00025.jpg,0.526838,1
00027.jpg,0.67302,1
00029.jpg,0.995238,1
00031.jpg,0.0928361,1
00033.jpg,0.571539,1
00035.jpg,0.882629,1
00037.jpg,1.28455,0
00039.jpg,0.738819,1
00041.jpg,-0.856455,0
00043.jpg,-0.685486,0
00045.jpg,0.877148,0
00047.jpg,1.51575,1
00049.jpg,0.810876,0
00051.jpg,1.17938,1
00053.jpg,1.21166,1
00055.jpg,0.748078,1
00057.jpg,0.696543,1
00059.jpg,0.935513,1
00061.jpg,1.02266,1
00063.jpg,1.02113,1
00065.jpg,0.566323,0
00067.jpg,1.07577,0
00069.jpg,0.992642,1
00071.jpg,1.15742,1
00073.jpg,1.21941,1
00075.jpg,0.972329,1
00077.jpg,0.854737,1
00079.jpg,1.09181,0
00081.jpg,1.49094,0
00083.jpg,1.02771,1
00085.jpg,1.16631,1
00087.jpg,0.826199,1
00089.jpg,0.939064,1
00091.jpg,0.70976,1
00093.jpg,0.764427,0
00095.jpg,1.25145,0
00097.jpg,0.809605,1
00099.jpg,-0.171277,0
00101.jpg,-0.988918,0
00103.jpg,-0.856322,0
00105.jpg,-1.01669,0
00107.jpg,0.941726,1
00109.jpg,1.43006,1
00111.jpg,0.857259,1
00113.jpg,0.674361,0
00115.jpg,0.875581,1
00117.jpg,0.798113,1
00119.jpg,1.16976,1
00121.jpg,0.592042,0
00123.jpg,0.887417,1
00125.jpg,1.025,0
00127.jpg,0.95368,1
00129.jpg,1.39003,0
00131.jpg,0.133362,1
00133.jpg,1.10676,1
00135.jpg,1.0782,1
00137.jpg,0.696261,1
00139.jpg,0.969714,1
00141.jpg,1.23578,1
00143.jpg,1.52789,1
00145.jpg,0.589267,0
00147.jpg,1.13895,1
00149.jpg,1.0801,1
00151.jpg,1.12143,1
00153.jpg,0.402609,1
00155.jpg,1.49878,1
00157.jpg,0.858642,0
00159.jpg,0.80349,1
00161.jpg,0.801177,1
00163.jpg,1.32955,0
00165.jpg,0.734536,1
00167.jpg,0.909114,0
00169.jpg,0.389944,1
00171.jpg,1.05211,1
00173.jpg,0.601577,1
00175.jpg,0.801019,1
00177.jpg,1.21317,0
00179.jpg,0.589918,1
00181.jpg,0.729259,1
00183.jpg,0.854594,1
00185.jpg,0.819526,0
00187.jpg,1.0599,1
00189.jpg,0.978561,1
00191.jpg,1.1277,1
00193.jpg,0.679984,1
00195.jpg,0.244539,0
00197.jpg,1.09386,0
00199.jpg,1.38511,1
00201.jpg,0.52564,1
00203.jpg,0.346219,0
00205.jpg,0.779538,0
00207.jpg,0.424317,1
00209.jpg,1.18888,1
00211.jpg,1.15897,1
00213.jpg,0.820022,0
00215.jpg,1.20672,1
00217.jpg,0.798987,0
