image,result,label
00001.jpg,4.32009,0
00003.jpg,-2.32564,0
00005.jpg,4.01218,1
00007.jpg,4.9372,1
00009.jpg,-2.64411,0
00011.jpg,1.40559,0
00013.jpg,-0.858974,0
00015.jpg,2.58498,1
00017.jpg,-1.45348,1
00019.jpg,-0.537332,0
00021.jpg,1.92955,0
00023.jpg,-1.31866,0
00025.jpg,-1.23671,1
00027.jpg,-2.60864,1
00029.jpg,-1.2666,1
00031.jpg,-2.44937,1
00033.jpg,-2.33692,1
00035.jpg,-0.359509,1
00037.jpg,0.478471,0
00039.jpg,-1.59148,1
00041.jpg,-2.69134,0
00043.jpg,-2.71228,0
00045.jpg,-2.76979,0
00047.jpg,-0.761052,1
00049.jpg,-2.19526,0
00051.jpg,-1.63316,1
00053.jpg,-1.79296,1
00055.jpg,-1.3583,1
00057.jpg,-1.47087,1
00059.jpg,4.7428,1
00061.jpg,-0.5021,1
00063.jpg,0.0507341,1
00065.jpg,-1.37147,0
00067.jpg,-0.494479,0
00069.jpg,-2.15443,1
00071.jpg,-2.35566,1
00073.jpg,-1.19564,1
00075.jpg,-2.37508,1
00077.jpg,-0.983582,1
00079.jpg,0.614604,0
00081.jpg,1.48359,0
00083.jpg,-0.869159,1
00085.jpg,-0.398894,1
00087.jpg,1.40243,1
00089.jpg,1.90649,1
00091.jpg,-2.3116,1
00093.jpg,-1.55517,0
00095.jpg,-0.522524,0
00097.jpg,-0.00146081,1
00099.jpg,-1.62038,0
00101.jpg,-2.30377,0
00103.jpg,-2.273,0
00105.jpg,-2.03984,0
00107.jpg,-0.0428338,1
00109.jpg,2.88791,1
00111.jpg,9.37576,1
00113.jpg,9.8237,0
00115.jpg,-2.03001,1
00117.jpg,0.337556,1
00119.jpg,1.14682,1
00121.jpg,-1.99269,0
00123.jpg,-0.904303,1
00125.jpg,2.02258,0
00127.jpg,-1.68928,1
00129.jpg,1.69417,0
00131.jpg,-2.55733,1
00133.jpg,2.27895,1
00135.jpg,0.467523,1
00137.jpg,-1.87899,1
00139.jpg,-0.810189,1
00141.jpg,0.175488,1
00143.jpg,-0.421178,1
00145.jpg,8.63209,0
00147.jpg,-0.554975,1
00149.jpg,1.21277,1
00151.jpg,-2.14436,1
00153.jpg,-0.312047,1
00155.jpg,-1.87374,1
00157.jpg,1.63148,0
00159.jpg,-0.617813,1
00161.jpg,-0.207606,1
00163.jpg,2.95523,0
00165.jpg,-0.654942,1
00167.jpg,5.84204,0
00169.jpg,-2.53983,1
00171.jpg,-1.89424,1
00173.jpg,-1.58917,1
00175.jpg,-0.00637454,1
00177.jpg,-1.44419,0
00179.jpg,1.46303,1
00181.jpg,1.05008,1
00183.jpg,1.05197,1
00185.jpg,3.70957,0
00187.jpg,2.017,1
00189.jpg,6.35412,1
00191.jpg,5.0344,1
00193.jpg,-2.43271,1
00195.jpg,0.530483,0
00197.jpg,-0.254304,0
00199.jpg,0.079449,1
00201.jpg,-2.80405,1
00203.jpg,-2.80617,0
00205.jpg,-2.60524,0
00207.jpg,-1.47035,1
00209.jpg,0.781347,1
00211.jpg,1.53312,1
00213.jpg,-0.21715,0
00215.jpg,-1.03125,1
00217.jpg,-1.97227,0
00219.jpg,-1.36401,0
00221.jpg,3.9016,1
00223.jpg,-2.74816,1
00225.jpg,-0.286999,1
00227.jpg,-2.50206,1
00229.jpg,0.931407,1
00231.jpg,-0.102785,1
00233.jpg,-0.751949,0
00235.jpg,-2.57201,0
00237.jpg,2.13533,1
00239.jpg,6.37834,1
00241.jpg,-0.000969364,0
00243.jpg,-1.3096,1
00245.jpg,-1.60601,0
00247.jpg,0.418808,1
00249.jpg,-1.45414,0
00251.jpg,-0.0125143,0
00253.jpg,-1.47009,1
00255.jpg,-2.42085,0
00257.jpg,-0.685704,0
00259.jpg,0.188875,0
00261.jpg,-1.51994,0
00263.jpg,0.152103,1
00265.jpg,-2.11493,0
00267.jpg,0.971837,0
00269.jpg,-0.791113,0
00271.jpg,-0.769074,0
00273.jpg,0.418093,1
00275.jpg,0.0550923,1
00277.jpg,1.85596,0
00279.jpg,0.114874,1
00281.jpg,-2.51676,0
00283.jpg,-2.65639,1
00285.jpg,0.764116,1
00287.jpg,5.57046,1
00289.jpg,2.26596,1
00291.jpg,-1.79545,1
00293.jpg,-0.0112299,1
00295.jpg,11.0846,0
00297.jpg,-1.88514,1
00299.jpg,-2.33768,1
00301.jpg,0.671001,1
00303.jpg,-1.40271,1
00305.jpg,-1.52575,1
00307.jpg,-0.860816,1
00309.jpg,-0.589485,1
00311.jpg,0.701298,1
00313.jpg,-0.968643,1
00315.jpg,-0.340966,0
00317.jpg,0.110716,0
00319.jpg,2.26381,1
00321.jpg,-1.53871,1
00323.jpg,2.99758,1
00325.jpg,-0.0844163,1
00327.jpg,-0.386191,1
00329.jpg,-0.989173,1
00331.jpg,-2.15055,1
00333.jpg,-2.33288,1
00335.jpg,0.856454,1
00337.jpg,0.726271,1
00339.jpg,-0.0197817,1
00341.jpg,-0.338948,1
00343.jpg,4.3314,1
00345.jpg,-0.946468,0
00347.jpg,-2.52839,1
00349.jpg,-1.09137,0
00351.jpg,-2.7091,1
00353.jpg,0.0912887,1
00355.jpg,-2.00611,1
00357.jpg,-0.0991144,1
00359.jpg,0.184884,1
00361.jpg,-2.26509,1
00363.jpg,0.240758,1
00365.jpg,0.457792,1
00367.jpg,-2.04074,0
00369.jpg,-2.71774,1
00371.jpg,0.733434,1
00373.jpg,0.251076,0
00375.jpg,-1.06256,1
00377.jpg,-0.951241,1
00379.jpg,-2.3272,1
00381.jpg,-1.18442,1
00383.jpg,0.0279196,1
00385.jpg,1.66978,0
00387.jpg,1.84086,1
00389.jpg,-2.42612,1
00391.jpg,3.12587,0
00393.jpg,-0.582981,0
00395.jpg,-1.08719,1
00397.jpg,5.17182,0
00399.jpg,-0.93177,1
00401.jpg,0.0738925,1
00403.jpg,-2.33858,1
00405.jpg,2.13424,1
00407.jpg,-2.77849,0
00409.jpg,-0.63659,1
00411.jpg,-2.22936,1
00413.jpg,7.88429,0
00415.jpg,-1.82254,1
00417.jpg,6.9523,0
00419.jpg,-0.839115,0
00421.jpg,-1.94714,1
00423.jpg,1.10262,1
00425.jpg,6.69472,1
00427.jpg,3.0274,1
00429.jpg,3.43151,1
00431.jpg,-1.96224,1
00433.jpg,-1.98078,1
00435.jpg,-0.227869,1
00437.jpg,5.47819,0
00439.jpg,-1.09979,0
00441.jpg,-2.49162,0
00443.jpg,-2.2186,0
00445.jpg,-2.31815,1
00447.jpg,-1.18391,1
00449.jpg,-0.635603,1
00451.jpg,-0.0247012,0
00453.jpg,0.634874,1
00455.jpg,-2.25582,0
00457.jpg,-2.26222,0
00459.jpg,-0.473559,1
00461.jpg,1.85012,0
00463.jpg,-0.978528,1
00465.jpg,-1.0473,0
00467.jpg,-1.96597,0
00469.jpg,-1.89064,1
00471.jpg,2.86357,1
00473.jpg,-0.258437,0
00475.jpg,-1.63098,1
00477.jpg,-2.02242,0
00479.jpg,0.266597,1
00481.jpg,-0.943137,1
00483.jpg,3.45978,1
00485.jpg,-1.54009,1
00487.jpg,-0.444101,1
00489.jpg,-2.50457,1
00491.jpg,-1.96554,1
00493.jpg,-1.64023,1
00495.jpg,-0.894033,1
00497.jpg,12.6568,1
00499.jpg,6.37726,1
00501.jpg,-0.965776,1
00503.jpg,5.27889,0
00505.jpg,2.47587,1
00507.jpg,-1.13227,0
00509.jpg,2.48917,1
00511.jpg,-1.45036,1
00513.jpg,-1.62744,0
00515.jpg,-2.38336,1
00517.jpg,-0.577955,1
00519.jpg,-2.47333,1
00521.jpg,-0.211691,1
00523.jpg,0.221963,0
00525.jpg,-1.40453,1
