image,result,label
00001.jpg,945762,0
00003.jpg,-224343,0
00005.jpg,35389.7,1
00007.jpg,22917.2,1
00009.jpg,-69606.1,0
00011.jpg,-97036.3,0
00013.jpg,60540.2,0
00015.jpg,169707,1
00017.jpg,-149539,1
00019.jpg,41662,0
00021.jpg,58523.4,0
00023.jpg,-106891,0
00025.jpg,27379.4,1
00027.jpg,14445.3,1
00029.jpg,26933.5,1
00031.jpg,-232015,1
00033.jpg,-116477,1
00035.jpg,-45882.7,1
00037.jpg,-182844,0
00039.jpg,87364,1
00041.jpg,-115459,0
00043.jpg,-48363.1,0
00045.jpg,-256266,0
00047.jpg,35831.3,1
00049.jpg,-119514,0
00051.jpg,41520.9,1
00053.jpg,-302717,1
00055.jpg,-75666.2,1
00057.jpg,86226.7,1
00059.jpg,-93037.6,1
00061.jpg,35183.9,1
00063.jpg,-17380.1,1
00065.jpg,-172861,0
00067.jpg,367364,0
00069.jpg,102753,1
00071.jpg,-134954,1
00073.jpg,-77323.7,1
00075.jpg,-46689.5,1
00077.jpg,-61030.1,1
00079.jpg,-23810,0
00081.jpg,-195623,0
00083.jpg,-48090.2,1
00085.jpg,-102624,1
00087.jpg,321222,1
00089.jpg,-131086,1
00091.jpg,-65326.4,1
00093.jpg,-71257.1,0
00095.jpg,-119311,0
00097.jpg,17010,1
00099.jpg,-244715,0
00101.jpg,-136316,0
00103.jpg,15249.1,0
00105.jpg,12694.6,0
00107.jpg,-72336.1,1
00109.jpg,-118313,1
00111.jpg,91159.1,1
00113.jpg,69315.8,0
00115.jpg,128645,1
00117.jpg,10866.2,1
00119.jpg,-188053,1
00121.jpg,-49840.2,0
00123.jpg,191979,1
00125.jpg,40365.2,0
00127.jpg,-248896,1
00129.jpg,306410,0
00131.jpg,-81882,1
00133.jpg,-188577,1
00135.jpg,122833,1
00137.jpg,167872,1
00139.jpg,40852.9,1
00141.jpg,460535,1
00143.jpg,-239990,1
00145.jpg,-29282.9,0
00147.jpg,113914,1
00149.jpg,-12376.9,1
00151.jpg,-188577,1
00153.jpg,23105.8,1
00155.jpg,-12544.6,1
00157.jpg,-46379.9,0
00159.jpg,-1674.26,1
00161.jpg,-84779.2,1
00163.jpg,-32838.3,0
00165.jpg,-126930,1
00167.jpg,295032,0
00169.jpg,-215381,1
00171.jpg,25289.2,1
00173.jpg,-174898,1
00175.jpg,17697.8,1
00177.jpg,724390,0
00179.jpg,-44963.4,1
00181.jpg,-189842,1
00183.jpg,82658.8,1
00185.jpg,-58348.2,0
00187.jpg,139616,1
00189.jpg,134963,1
00191.jpg,180500,1
00193.jpg,-86322.1,1
00195.jpg,609983,0
00197.jpg,2354.81,0
00199.jpg,434191,1
00201.jpg,-333255,1
00203.jpg,-297210,0
00205.jpg,-212183,0
00207.jpg,182475,1
00209.jpg,532728,1
00211.jpg,-124635,1
00213.jpg,-167765,0
00215.jpg,-165225,1
00217.jpg,-120017,0
00219.jpg,104941,0
00221.jpg,166916,1
00223.jpg,-269927,1
00225.jpg,77119.7,1
00227.jpg,-108555,1
00229.jpg,170547,1
00231.jpg,-132998,1
00233.jpg,-96244.2,0
00235.jpg,-35254.9,0
00237.jpg,-187716,1
00239.jpg,267964,1
00241.jpg,-70406.3,0
00243.jpg,-9074.94,1
00245.jpg,-32651.2,0
00247.jpg,34421.8,1
00249.jpg,31254.6,0
00251.jpg,52763.7,0
00253.jpg,-44009.8,1
00255.jpg,56170.3,0
00257.jpg,-25723.5,0
00259.jpg,4132.18,0
00261.jpg,-150126,0
00263.jpg,148323,1
00265.jpg,-15151.6,0
00267.jpg,253434,0
00269.jpg,-19505.5,0
00271.jpg,27537.4,0
00273.jpg,-18368.2,1
00275.jpg,124499,1
00277.jpg,-40100.3,0
00279.jpg,16614.7,1
00281.jpg,-146152,0
00283.jpg,-187595,1
00285.jpg,154519,1
00287.jpg,257565,1
00289.jpg,-189041,1
00291.jpg,8687.54,1
00293.jpg,122457,1
00295.jpg,138551,0
00297.jpg,-179987,1
00299.jpg,21876.5,1
00301.jpg,-142264,1
00303.jpg,-3523.85,1
00305.jpg,-105668,1
00307.jpg,-83481.4,1
00309.jpg,112878,1
00311.jpg,35314.4,1
00313.jpg,-198183,1
00315.jpg,-196136,0
00317.jpg,169204,0
00319.jpg,228514,1
00321.jpg,51520.4,1
00323.jpg,-162092,1
00325.jpg,-220499,1
00327.jpg,-219921,1
00329.jpg,-87913.5,1
00331.jpg,-85431,1
00333.jpg,124877,1
00335.jpg,7629.25,1
00337.jpg,-27610.8,1
00339.jpg,195401,1
00341.jpg,-249153,1
00343.jpg,-29820.1,1
00345.jpg,-171562,0
00347.jpg,-106675,1
00349.jpg,-16995.4,0
00351.jpg,-173857,1
00353.jpg,30409.3,1
00355.jpg,-16185.3,1
00357.jpg,-65667,1
00359.jpg,66186.1,1
00361.jpg,-109204,1
00363.jpg,202386,1
00365.jpg,6417.74,1
00367.jpg,-18156.2,0
00369.jpg,-273998,1
00371.jpg,22456.8,1
00373.jpg,93095.5,0
00375.jpg,88561.6,1
00377.jpg,-178427,1
00379.jpg,26688,1
00381.jpg,-10553.9,1
00383.jpg,252604,1
00385.jpg,220336,0
00387.jpg,493425,1
00389.jpg,-168088,1
00391.jpg,190296,0
00393.jpg,54230.3,0
00395.jpg,-171613,1
00397.jpg,-114937,0
00399.jpg,-155702,1
00401.jpg,186118,1
00403.jpg,277805,1
00405.jpg,-19411.7,1
00407.jpg,-269897,0
00409.jpg,-201284,1
00411.jpg,-222618,1
00413.jpg,118589,0
00415.jpg,88111.4,1
00417.jpg,49116.1,0
00419.jpg,-119596,0
00421.jpg,-113349,1
00423.jpg,23533.6,1
00425.jpg,137788,1
00427.jpg,199327,1
00429.jpg,220417,1
00431.jpg,-32392.1,1
00433.jpg,6271.45,1
00435.jpg,99804.2,1
00437.jpg,-42890.1,0
00439.jpg,-99313.7,0
00441.jpg,-69614.9,0
00443.jpg,-175903,0
00445.jpg,113838,1
00447.jpg,62669,1
00449.jpg,98040.7,1
00451.jpg,87635.5,0
00453.jpg,-119349,1
00455.jpg,7113.11,0
00457.jpg,-187647,0
00459.jpg,-53943.6,1
00461.jpg,-3364.08,0
00463.jpg,87195.4,1
00465.jpg,-30888.2,0
00467.jpg,61696.9,0
00469.jpg,27616,1
00471.jpg,31100.6,1
00473.jpg,25961.8,0
00475.jpg,463221,1
00477.jpg,386803,0
00479.jpg,24648.6,1
00481.jpg,23594.8,1
00483.jpg,122078,1
00485.jpg,38160.8,1
