image,result,label
00001.jpg,0.6299,0
00003.jpg,-0.00744233,0
00005.jpg,1.29941,1
00007.jpg,1.101,1
00009.jpg,-0.839743,0
00011.jpg,1.2603,0
00013.jpg,0.677683,0
00015.jpg,1.07176,1
00017.jpg,0.543005,1
00019.jpg,0.77731,0
00021.jpg,1.09722,0
00023.jpg,0.261968,0
00025.jpg,0.418127,1
00027.jpg,0.763593,1
00029.jpg,0.899773,1
00031.jpg,0.246397,1
00033.jpg,0.620388,1
00035.jpg,0.865321,1
00037.jpg,1.43523,0
00039.jpg,0.749787,1
00041.jpg,-0.599352,0
00043.jpg,-0.476065,0
00045.jpg,1.03955,0
00047.jpg,1.48758,1
00049.jpg,0.774593,0
00051.jpg,1.08597,1
00053.jpg,1.16528,1
00055.jpg,0.770788,1
00057.jpg,0.934552,1
00059.jpg,1.0626,1
00061.jpg,0.955787,1
00063.jpg,1.0856,1
00065.jpg,0.423567,0
00067.jpg,1.12332,0
00069.jpg,1.30688,1
00071.jpg,1.26476,1
00073.jpg,1.0429,1
00075.jpg,1.2459,1
00077.jpg,0.934643,1
00079.jpg,1.21673,0
00081.jpg,1.5375,0
00083.jpg,1.38692,1
00085.jpg,1.31867,1
00087.jpg,0.940892,1
00089.jpg,0.940641,1
00091.jpg,0.891055,1
00093.jpg,0.693793,0
00095.jpg,1.20275,0
00097.jpg,0.683441,1
00099.jpg,-0.253498,0
00101.jpg,-0.844417,0
00103.jpg,-1.00759,0
00105.jpg,-0.892174,0
00107.jpg,0.887054,1
00109.jpg,1.30561,1
00111.jpg,0.847056,1
00113.jpg,0.605612,0
00115.jpg,0.985654,1
00117.jpg,0.818666,1
00119.jpg,1.27148,1
00121.jpg,0.619663,0
00123.jpg,1.00208,1
00125.jpg,1.31392,0
00127.jpg,1.03181,1
00129.jpg,1.27599,0
00131.jpg,0.140592,1
00133.jpg,1.33384,1
00135.jpg,1.16862,1
00137.jpg,0.690126,1
00139.jpg,0.998269,1
00141.jpg,1.24701,1
00143.jpg,1.43184,1
00145.jpg,0.679142,0
00147.jpg,1.17724,1
00149.jpg,1.20188,1
00151.jpg,1.20636,1
00153.jpg,0.423164,1
00155.jpg,1.42214,1
00157.jpg,0.862692,0
00159.jpg,0.832856,1
00161.jpg,0.76439,1
00163.jpg,1.30295,0
00165.jpg,1.07503,1
00167.jpg,1.08092,0
00169.jpg,0.436541,1
00171.jpg,1.32631,1
00173.jpg,0.579847,1
00175.jpg,0.821792,1
00177.jpg,1.37031,0
00179.jpg,0.585407,1
00181.jpg,0.802503,1
00183.jpg,0.797263,1
00185.jpg,0.969632,0
00187.jpg,1.08496,1
00189.jpg,0.877009,1
00191.jpg,1.0388,1
00193.jpg,0.73258,1
00195.jpg,0.00153414,0
00197.jpg,1.10403,0
00199.jpg,1.35717,1
00201.jpg,0.720728,1
00203.jpg,0.433876,0
00205.jpg,0.757136,0
00207.jpg,0.478042,1
00209.jpg,1.40348,1
00211.jpg,1.30587,1
00213.jpg,0.983432,0
00215.jpg,1.07278,1
00217.jpg,1.15588,0
00219.jpg,-0.608021,0
00221.jpg,1.56212,1
00223.jpg,0.790764,1
00225.jpg,1.67977,1
00227.jpg,1.32054,1
00229.jpg,0.749689,1
00231.jpg,0.69123,1
00233.jpg,0.41255,0
00235.jpg,-0.630389,0
00237.jpg,1.04016,1
00239.jpg,0.716665,1
00241.jpg,1.01197,0
00243.jpg,1.28614,1
00245.jpg,1.21905,0
00247.jpg,1.34437,1
00249.jpg,1.1545,0
00251.jpg,1.17803,0
00253.jpg,0.631501,1
00255.jpg,0.179286,0
00257.jpg,0.198989,0
00259.jpg,0.284494,0
00261.jpg,-0.049438,0
00263.jpg,0.661185,1
00265.jpg,0.318213,0
00267.jpg,0.92621,0
00269.jpg,1.04354,0
00271.jpg,1.56758,0
00273.jpg,1.27392,1
00275.jpg,1.08795,1
