image,result,label
00001.jpg,-1.00038,1
00003.jpg,-0.999969,1
00005.jpg,-1.00041,1
00007.jpg,-0.999511,1
00009.jpg,-0.997632,1
00011.jpg,-1.00019,1
00013.jpg,-1.00014,1
00015.jpg,-1.00036,1
00017.jpg,-1.00061,0
00019.jpg,-0.999948,0
00021.jpg,-1.00035,1
00023.jpg,-1.00026,1
00025.jpg,-1.0011,1
00027.jpg,-0.999742,1
00029.jpg,-0.999874,1
00031.jpg,-1.00062,1
00033.jpg,-0.999996,1
00035.jpg,-0.999873,1
00037.jpg,-1.00036,1
00039.jpg,-1.00054,1
00041.jpg,-0.997957,0
00043.jpg,-0.998585,0
00045.jpg,-0.999688,0
00047.jpg,-1.00013,1
00049.jpg,-1.00019,0
00051.jpg,-0.99996,1
00053.jpg,-1.00036,1
00055.jpg,-1.00057,0
00057.jpg,-1.00046,1
00059.jpg,-1.00044,1
00061.jpg,-1.00062,1
00063.jpg,-1.00059,1
00065.jpg,-0.999968,0
00067.jpg,-1.00042,1
00069.jpg,-1.00051,1
00071.jpg,-0.998974,1
00073.jpg,-1.0001,1
00075.jpg,-0.999442,1
00077.jpg,-0.999587,1
00079.jpg,-0.999657,1
00081.jpg,-0.998814,1
00083.jpg,-0.999371,1
00085.jpg,-0.999787,1
00087.jpg,-1.00018,1
00089.jpg,-1.00048,1
00091.jpg,-1.00048,1
00093.jpg,-1.00069,1
00095.jpg,-1.00053,1
00097.jpg,-0.999538,1
00099.jpg,-1.0006,1
00101.jpg,-0.99795,1
00103.jpg,-0.997035,1
00105.jpg,-0.997615,0
00107.jpg,-1.00086,1
00109.jpg,-1.00032,1
00111.jpg,-1.0002,1
00113.jpg,-0.999642,1
00115.jpg,-1.00039,1
00117.jpg,-1.00058,1
00119.jpg,-0.999381,1
00121.jpg,-0.999899,1
00123.jpg,-1.00051,1
00125.jpg,-1.00003,0
00127.jpg,-1.00073,1
00129.jpg,-1.00024,1
00131.jpg,-1.00049,1
00133.jpg,-0.999474,1
00135.jpg,-1.00037,1
00137.jpg,-1.0005,1
00139.jpg,-1.00119,1
00141.jpg,-0.999853,1
00143.jpg,-0.9987,1
00145.jpg,-0.999877,1
00147.jpg,-1.00047,1
00149.jpg,-1.00065,1
00151.jpg,-1.00006,1
00153.jpg,-1.00057,1
00155.jpg,-1.00058,1
00157.jpg,-1.00058,0
00159.jpg,-1.0003,1
00161.jpg,-1.00044,1
00163.jpg,-1.00034,0
00165.jpg,-0.999924,1
00167.jpg,-0.999693,0
00169.jpg,-0.999657,1
00171.jpg,-1.00063,1
00173.jpg,-1.00014,1
00175.jpg,-1,1
00177.jpg,-1.00095,1
00179.jpg,-1.00041,1
00181.jpg,-1.00035,1
00183.jpg,-1.00091,1
00185.jpg,-1.00032,1
00187.jpg,-1.00021,1
00189.jpg,-1.00029,1
00191.jpg,-1.00072,0
00193.jpg,-0.999583,1
00195.jpg,-1.00045,1
00197.jpg,-1.0004,0
00199.jpg,-1.00085,1
00201.jpg,-0.999885,0
00203.jpg,-0.999955,1
00205.jpg,-1.00038,1
00207.jpg,-1.00014,1
00209.jpg,-0.9989,1
00211.jpg,-1.00038,1
00213.jpg,-1.00039,1
00215.jpg,-1.00027,1
00217.jpg,-1.00017,0
00219.jpg,-0.999189,1
00221.jpg,-1.00017,1
00223.jpg,-1.0002,1
00225.jpg,-0.999135,1
00227.jpg,-1.00034,1
00229.jpg,-1.0006,1
00231.jpg,-1.00035,0
00233.jpg,-1.00037,1
00235.jpg,-0.998895,1
00237.jpg,-1.00029,1
00239.jpg,-1.00055,1
00241.jpg,-1.00028,0
00243.jpg,-0.999876,1
00245.jpg,-0.99928,1
00247.jpg,-1.00046,1
00249.jpg,-1.00008,1
00251.jpg,-1.00088,0
00253.jpg,-1.00044,1
00255.jpg,-1.00024,1
00257.jpg,-1.00018,1
00259.jpg,-1.00044,0
00261.jpg,-1.00019,0
00263.jpg,-1.00036,1
00265.jpg,-1.0004,1
00267.jpg,-0.999887,1
00269.jpg,-1.00031,1
00271.jpg,-0.999999,0
00273.jpg,-1.00015,1
00275.jpg,-1.0008,1
00277.jpg,-1.00048,1
00279.jpg,-0.999881,1
00281.jpg,-1.00025,1
00283.jpg,-1.00004,1
00285.jpg,-1.00011,1
00287.jpg,-1.00019,1
00289.jpg,-0.999469,0
00291.jpg,-0.998987,1
00293.jpg,-1.00045,0
00295.jpg,-0.999403,0
00297.jpg,-1.00059,1
00299.jpg,-1.00025,1
00301.jpg,-0.999875,1
00303.jpg,-1.0002,1
00305.jpg,-1.00063,1
00307.jpg,-0.999836,1
00309.jpg,-1.00063,1
00311.jpg,-0.999748,1
00313.jpg,-1.00029,1
00315.jpg,-0.999933,0
00317.jpg,-1.00034,0
00319.jpg,-1.00069,1
00321.jpg,-0.99983,1
00323.jpg,-1.00028,1
00325.jpg,-1.00022,1
00327.jpg,-1.0005,1
00329.jpg,-1.00077,1
00331.jpg,-1.00055,1
00333.jpg,-0.998604,1
00335.jpg,-1.00081,1
00337.jpg,-1.00064,1
00339.jpg,-1.00063,1
00341.jpg,-1.00047,1
00343.jpg,-1.00019,1
00345.jpg,-1.00013,0
00347.jpg,-0.99815,1
00349.jpg,-0.999349,0
00351.jpg,-1.00002,1
00353.jpg,-0.999555,1
00355.jpg,-0.999084,1
00357.jpg,-1.0005,1
00359.jpg,-1.00054,0
00361.jpg,-1.00071,1
00363.jpg,-1.00096,1
00365.jpg,-1.00005,1
00367.jpg,-1.00045,0
00369.jpg,-1.00043,1
00371.jpg,-1.00072,1
00373.jpg,-1.00071,1
00375.jpg,-0.998163,1
00377.jpg,-1.00052,0
00379.jpg,-1.0002,1
00381.jpg,-0.999251,1
00383.jpg,-1.00058,1
00385.jpg,-1.00046,1
00387.jpg,-1.00064,1
00389.jpg,-0.999188,1
00391.jpg,-1.00022,1
00393.jpg,-1.00003,1
00395.jpg,-0.998678,1
00397.jpg,-1.00027,0
00399.jpg,-0.999908,1
00401.jpg,-1.00015,1
00403.jpg,-0.999223,1
00405.jpg,-0.999903,1
00407.jpg,-0.999403,0
00409.jpg,-1.00077,1
00411.jpg,-0.999832,1
00413.jpg,-1.00031,1
00415.jpg,-0.999676,1
00417.jpg,-1.00011,1
00419.jpg,-1.00058,1
00421.jpg,-1.00045,1
00423.jpg,-1.0004,1
00425.jpg,-1.00001,0
00427.jpg,-1,0
00429.jpg,-1.00025,1
00431.jpg,-1.00081,1
00433.jpg,-1,1
00435.jpg,-1.00016,1
00437.jpg,-0.999322,1
00439.jpg,-0.997956,0
00441.jpg,-0.996301,0
00443.jpg,-0.998194,0
00445.jpg,-0.998428,1
00447.jpg,-1.00064,1
00449.jpg,-1.00058,1
00451.jpg,-1.00037,1
00453.jpg,-1.00056,1
00455.jpg,-1.00064,1
00457.jpg,-1.001,0
00459.jpg,-1.00049,1
00461.jpg,-1.00085,1
00463.jpg,-1.00015,1
00465.jpg,-1.00049,1
00467.jpg,-1.00028,0
00469.jpg,-1.00094,1
00471.jpg,-1.00041,1
00473.jpg,-1.00024,1
00475.jpg,-1.00034,1
00477.jpg,-1.00062,0
00479.jpg,-1.00069,1
00481.jpg,-1.00112,1
00483.jpg,-0.999843,1
00485.jpg,-1.00047,1
00487.jpg,-1.00057,1
00489.jpg,-0.999751,1
00491.jpg,-0.999877,1
00493.jpg,-1,1
00495.jpg,-1.00018,0
00497.jpg,-0.999134,0
00499.jpg,-1.00012,1
00501.jpg,-0.999721,1
00503.jpg,-0.999963,1
00505.jpg,-1.00031,1
00507.jpg,-1.00028,0
00509.jpg,-0.999373,1
00511.jpg,-1.00038,1
00513.jpg,-1.00078,0
00515.jpg,-1.00046,1
00517.jpg,-0.999745,1
00519.jpg,-0.999938,1
00521.jpg,-1.00049,1
00523.jpg,-1.00019,1
00525.jpg,-0.999924,1
00527.jpg,-0.999889,0
00529.jpg,-0.99955,1
00531.jpg,-1.00022,1
00533.jpg,-0.999685,1
00535.jpg,-0.999886,1
00537.jpg,-0.999788,0
00539.jpg,-0.999922,1
00541.jpg,-1.00046,1
00543.jpg,-1.00019,1
00545.jpg,-1.00036,1
00547.jpg,-1.00061,0
00549.jpg,-0.998955,0
00551.jpg,-1.00011,1
00553.jpg,-1.00033,1
00555.jpg,-1.00003,1
00557.jpg,-0.999694,1
00559.jpg,-0.999528,1
00561.jpg,-1.00054,1
00563.jpg,-1.00024,1
00565.jpg,-1.00051,1
00567.jpg,-0.999893,1
00569.jpg,-1.0002,1
00571.jpg,-0.999963,1
00573.jpg,-1.00006,1
00575.jpg,-0.999901,1
00577.jpg,-1.00042,1
00579.jpg,-1.00059,1
00581.jpg,-1.0007,1
00583.jpg,-1.00077,1
00585.jpg,-1.00119,0
00587.jpg,-1.0001,1
00589.jpg,-1.00064,1
00591.jpg,-1.00018,1
00593.jpg,-1.00078,0
00595.jpg,-1.00018,1
00597.jpg,-1.00061,1
00599.jpg,-1,1
00601.jpg,-0.999572,1
00603.jpg,-0.999927,1
