image,result,label
00001.jpg,-0.994775,0
00003.jpg,-0.997453,0
00005.jpg,-0.995981,0
00007.jpg,-0.99924,0
00009.jpg,-1.00035,0
00011.jpg,-1.00083,0
00013.jpg,-0.996557,1
00015.jpg,-0.996198,0
00017.jpg,-1.00025,1
00019.jpg,-0.997274,1
00021.jpg,-0.998301,1
00023.jpg,-0.995885,0
00025.jpg,-0.999845,0
00027.jpg,-1.00237,0
00029.jpg,-0.99783,0
00031.jpg,-1.00286,0
00033.jpg,-1.00077,0
00035.jpg,-0.99588,0
00037.jpg,-0.99184,0
00039.jpg,-0.992086,0
00041.jpg,-0.999744,0
00043.jpg,-1.00015,1
00045.jpg,-0.999455,0
00047.jpg,-0.999614,0
00049.jpg,-0.99903,0
00051.jpg,-0.99886,0
00053.jpg,-0.99609,0
00055.jpg,-1.00279,0
00057.jpg,-0.997168,1
00059.jpg,-0.995577,0
00061.jpg,-0.995772,0
00063.jpg,-0.994017,0
00065.jpg,-1.0008,0
00067.jpg,-0.999847,0
00069.jpg,-0.9998,0
00071.jpg,-0.999977,0
00073.jpg,-0.993981,0
00075.jpg,-1.00168,0
00077.jpg,-0.99907,0
00079.jpg,-1.00227,0
00081.jpg,-0.997737,0
00083.jpg,-1.00634,0
00085.jpg,-1.00217,0
00087.jpg,-0.996697,0
00089.jpg,-0.996618,0
00091.jpg,-0.995501,0
00093.jpg,-0.998792,0
00095.jpg,-0.99538,0
00097.jpg,-0.99581,1
00099.jpg,-0.998947,1
00101.jpg,-0.999055,1
00103.jpg,-1.0006,0
00105.jpg,-0.999836,0
00107.jpg,-0.99713,1
00109.jpg,-0.990922,0
00111.jpg,-0.998391,1
00113.jpg,-0.996305,0
00115.jpg,-0.996781,0
00117.jpg,-0.998578,1
00119.jpg,-0.99078,1
00121.jpg,-1.00087,0
00123.jpg,-1.00127,0
00125.jpg,-1.00043,0
00127.jpg,-1.00214,1
00129.jpg,-1.00205,0
00131.jpg,-1.001,0
00133.jpg,-0.992823,1
00135.jpg,-0.996498,0
00137.jpg,-0.999111,1
00139.jpg,-1.00254,0
00141.jpg,-0.991315,0
00143.jpg,-0.994777,0
00145.jpg,-0.997474,1
00147.jpg,-0.996815,0
00149.jpg,-0.997938,0
00151.jpg,-0.993595,1
00153.jpg,-0.997649,0
00155.jpg,-0.994174,0
00157.jpg,-1.0042,0
00159.jpg,-0.997885,0
00161.jpg,-0.995968,1
00163.jpg,-0.993488,0
00165.jpg,-1.0052,0
00167.jpg,-1.00006,1
00169.jpg,-1.00219,0
00171.jpg,-0.99874,0
00173.jpg,-0.997265,1
00175.jpg,-0.997769,0
00177.jpg,-0.992162,0
00179.jpg,-0.997482,0
00181.jpg,-0.995648,1
00183.jpg,-0.99907,1
00185.jpg,-0.999831,1
00187.jpg,-0.996265,1
00189.jpg,-0.997966,0
00191.jpg,-0.996835,1
00193.jpg,-0.997811,0
00195.jpg,-1.00021,0
00197.jpg,-1.00022,0
00199.jpg,-0.991911,1
00201.jpg,-1.00097,0
00203.jpg,-1.00083,0
00205.jpg,-0.999913,0
00207.jpg,-0.999416,0
00209.jpg,-1.00109,0
00211.jpg,-0.996363,0
00213.jpg,-0.994015,0
00215.jpg,-1.00206,0
00217.jpg,-1.00286,1
00219.jpg,-0.999384,1
00221.jpg,-0.999835,0
00223.jpg,-0.999298,1
00225.jpg,-0.995409,0
00227.jpg,-1.00357,0
00229.jpg,-0.996131,1
00231.jpg,-0.994471,1
00233.jpg,-0.997617,0
00235.jpg,-0.999167,0
00237.jpg,-0.997596,0
00239.jpg,-0.998016,0
00241.jpg,-1.00123,0
00243.jpg,-1.00031,1
00245.jpg,-1.00002,0
00247.jpg,-0.998835,0
00249.jpg,-0.99328,0
00251.jpg,-0.994176,1
00253.jpg,-0.99852,0
00255.jpg,-0.997886,0
00257.jpg,-0.998233,1
00259.jpg,-0.997576,1
00261.jpg,-0.997869,1
00263.jpg,-0.999222,0
00265.jpg,-0.997549,0
00267.jpg,-0.997376,0
00269.jpg,-0.997661,0
00271.jpg,-0.997139,0
00273.jpg,-0.996832,0
00275.jpg,-0.997468,1
00277.jpg,-0.998891,0
00279.jpg,-0.998765,0
00281.jpg,-1.0008,0
00283.jpg,-0.999771,0
00285.jpg,-0.995978,0
00287.jpg,-0.999868,1
00289.jpg,-1.00086,0
00291.jpg,-1.00868,0
00293.jpg,-0.996408,0
00295.jpg,-0.998053,0
00297.jpg,-0.995557,0
00299.jpg,-0.999043,0
00301.jpg,-0.993547,0
00303.jpg,-0.996405,0
00305.jpg,-0.996436,0
00307.jpg,-0.999467,0
00309.jpg,-1.00431,0
00311.jpg,-0.998482,0
00313.jpg,-0.998594,1
00315.jpg,-0.999532,1
00317.jpg,-0.997616,1
00319.jpg,-0.997026,1
00321.jpg,-0.989351,1
00323.jpg,-0.993634,1
00325.jpg,-0.999046,1
00327.jpg,-0.997536,0
00329.jpg,-0.997648,1
00331.jpg,-0.999945,0
00333.jpg,-0.996893,0
00335.jpg,-0.994836,0
00337.jpg,-0.996033,1
00339.jpg,-0.995524,1
00341.jpg,-0.993918,1
00343.jpg,-0.999062,1
00345.jpg,-1.00228,0
00347.jpg,-1.00018,0
00349.jpg,-0.998893,1
00351.jpg,-0.997588,0
00353.jpg,-0.998136,1
00355.jpg,-0.997146,0
00357.jpg,-0.995691,0
00359.jpg,-0.996703,0
00361.jpg,-1.0014,1
00363.jpg,-0.993773,1
00365.jpg,-0.993536,1
00367.jpg,-0.999237,1
00369.jpg,-0.999671,0
00371.jpg,-0.998684,1
00373.jpg,-0.99965,0
00375.jpg,-0.996485,0
00377.jpg,-0.996602,0
00379.jpg,-1.00085,0
00381.jpg,-1.00263,0
00383.jpg,-0.996835,0
00385.jpg,-0.995355,1
00387.jpg,-0.994156,1
00389.jpg,-1.0008,0
00391.jpg,-0.996078,1
00393.jpg,-0.999325,0
00395.jpg,-1.00173,0
00397.jpg,-0.996146,1
00399.jpg,-1.00184,0
00401.jpg,-1.00085,0
00403.jpg,-1.00315,0
00405.jpg,-0.997466,0
00407.jpg,-1.00071,1
00409.jpg,-1.00043,0
