image,result,label
00001.jpg,-0.96994,0
00003.jpg,-0.944443,0
00005.jpg,-0.997054,1
00007.jpg,-0.986275,1
00009.jpg,-0.825414,0
00011.jpg,-0.989336,1
00013.jpg,-0.976067,0
00015.jpg,-1.00141,1
00017.jpg,-0.974722,0
00019.jpg,-0.995108,1
00021.jpg,-0.979757,1
00023.jpg,-0.919649,0
00025.jpg,-0.983429,1
00027.jpg,-0.979623,1
00029.jpg,-0.994211,1
00031.jpg,-0.949212,0
00033.jpg,-0.98168,1
00035.jpg,-1.00587,1
00037.jpg,-1.00675,0
00039.jpg,-0.981304,1
00041.jpg,-0.858366,0
00043.jpg,-0.896533,0
00045.jpg,-0.98289,1
00047.jpg,-0.98814,1
00049.jpg,-0.968654,0
00051.jpg,-1.00158,1
00053.jpg,-1.00758,1
00055.jpg,-1.00608,1
00057.jpg,-0.993895,1
00059.jpg,-1.00725,1
00061.jpg,-1.00843,0
00063.jpg,-1.00964,0
00065.jpg,-0.97902,0
00067.jpg,-0.990074,0
00069.jpg,-1.00743,1
00071.jpg,-0.990968,0
00073.jpg,-0.99668,1
00075.jpg,-0.977883,1
00077.jpg,-0.985928,1
00079.jpg,-0.975397,0
00081.jpg,-0.980059,0
00083.jpg,-0.993759,0
00085.jpg,-1.00018,0
00087.jpg,-0.984467,1
00089.jpg,-1.00209,1
00091.jpg,-0.994299,1
00093.jpg,-0.994104,0
00095.jpg,-1.02336,1
00097.jpg,-0.992005,1
00099.jpg,-0.93858,1
00101.jpg,-0.871092,0
00103.jpg,-0.812633,0
00105.jpg,-0.825856,0
00107.jpg,-0.991885,1
00109.jpg,-0.970508,1
00111.jpg,-0.986265,0
00113.jpg,-0.987994,1
00115.jpg,-0.981601,1
00117.jpg,-0.982237,1
00119.jpg,-0.995538,1
00121.jpg,-0.97399,0
00123.jpg,-0.993621,1
00125.jpg,-1.01814,0
00127.jpg,-0.965173,0
00129.jpg,-1.01169,0
00131.jpg,-0.941175,0
00133.jpg,-0.996946,0
00135.jpg,-0.993927,0
00137.jpg,-0.995984,1
