image,result,label
00001.jpg,-0.980167,0
00003.jpg,-0.99617,0
00005.jpg,-0.971934,0
00007.jpg,-0.935375,0
00009.jpg,-0.993639,0
00011.jpg,-0.924717,0
00013.jpg,-0.934397,1
00015.jpg,-0.926311,0
00017.jpg,-0.980464,1
00019.jpg,-0.926586,1
00021.jpg,-0.873281,1
00023.jpg,-0.989278,0
00025.jpg,-0.974316,0
00027.jpg,-1.00412,0
00029.jpg,-0.949869,0
00031.jpg,-0.973069,0
00033.jpg,-1.00223,0
00035.jpg,-0.998161,0
00037.jpg,-0.967154,0
00039.jpg,-0.939266,0
00041.jpg,-0.994756,0
00043.jpg,-0.992453,0
00045.jpg,-0.987614,0
00047.jpg,-0.936818,0
00049.jpg,-1.00635,0
00051.jpg,-0.990136,0
00053.jpg,-0.983998,0
00055.jpg,-0.948578,0
00057.jpg,-0.94481,1
00059.jpg,-0.920632,0
00061.jpg,-0.970912,0
00063.jpg,-0.932024,1
00065.jpg,-0.984699,0
00067.jpg,-0.965519,0
00069.jpg,-1.00289,0
00071.jpg,-1.00143,0
00073.jpg,-0.961856,0
00075.jpg,-1.03742,0
00077.jpg,-0.99184,0
00079.jpg,-0.944169,0
00081.jpg,-0.937411,0
00083.jpg,-1.02785,0
00085.jpg,-0.972805,0
00087.jpg,-0.949478,0
00089.jpg,-0.941293,0
00091.jpg,-0.988141,0
00093.jpg,-0.947328,0
00095.jpg,-0.941076,0
00097.jpg,-0.92863,1
00099.jpg,-0.966063,1
00101.jpg,-0.982363,1
00103.jpg,-1.01335,0
00105.jpg,-0.995226,0
00107.jpg,-0.963269,1
00109.jpg,-0.873435,0
00111.jpg,-0.907286,1
00113.jpg,-0.949082,0
00115.jpg,-0.948308,0
00117.jpg,-0.891243,1
00119.jpg,-0.871296,1
00121.jpg,-0.98974,0
00123.jpg,-0.982445,0
00125.jpg,-0.978671,0
00127.jpg,-0.99378,1
00129.jpg,-0.952781,0
00131.jpg,-1.00261,0
00133.jpg,-0.905877,1
00135.jpg,-0.955653,1
00137.jpg,-0.985589,1
00139.jpg,-1.0016,0
00141.jpg,-0.89217,0
00143.jpg,-0.996866,0
00145.jpg,-0.939505,1
00147.jpg,-0.901183,0
00149.jpg,-0.956315,0
00151.jpg,-0.953238,1
