image,result,label
00001.jpg,0.983059,0
00003.jpg,1.01318,0
00005.jpg,1.08313,1
00007.jpg,1.10338,1
00009.jpg,1.02019,0
00011.jpg,1.11439,1
00013.jpg,1.07155,1
00015.jpg,1.11343,1
00017.jpg,1.10974,1
00019.jpg,1.12289,1
00021.jpg,1.12603,1
00023.jpg,1.03196,0
00025.jpg,1.09918,1
00027.jpg,1.0688,1
00029.jpg,1.09808,1
00031.jpg,1.0609,0
00033.jpg,1.08236,1
00035.jpg,1.12509,0
00037.jpg,1.15356,1
00039.jpg,1.15133,1
00041.jpg,1.00798,1
00043.jpg,1.01209,1
00045.jpg,1.04647,1
00047.jpg,1.10766,0
00049.jpg,1.04902,0
00051.jpg,1.10421,0
00053.jpg,1.13236,0
00055.jpg,1.10479,0
00057.jpg,1.12119,1
00059.jpg,1.1083,1
00061.jpg,1.14695,1
00063.jpg,1.11242,0
00065.jpg,1.09075,1
00067.jpg,1.13944,1
00069.jpg,1.07423,0
00071.jpg,1.15967,0
00073.jpg,1.16669,0
00075.jpg,1.02904,0
00077.jpg,1.08904,0
00079.jpg,1.08476,1
00081.jpg,1.11496,1
00083.jpg,1.13422,1
00085.jpg,1.09532,1
00087.jpg,1.09553,1
00089.jpg,1.13242,0
00091.jpg,1.05593,1
00093.jpg,1.03778,1
00095.jpg,1.09169,1
00097.jpg,1.166,1
00099.jpg,1.04574,1
00101.jpg,1.00645,1
00103.jpg,1.00362,0
00105.jpg,1.01768,1
00107.jpg,1.11912,1
00109.jpg,1.11913,0
00111.jpg,1.13036,0
00113.jpg,1.0821,1
00115.jpg,1.09857,1
00117.jpg,1.08127,1
00119.jpg,1.09339,0
00121.jpg,1.08518,0
00123.jpg,1.08953,1
00125.jpg,1.08786,1
00127.jpg,1.03317,1
00129.jpg,1.12257,1
00131.jpg,1.05779,0
00133.jpg,1.09725,1
00135.jpg,1.15078,1
00137.jpg,1.07572,1
00139.jpg,1.0708,0
00141.jpg,1.10457,1
00143.jpg,1.00875,0
00145.jpg,1.08528,1
00147.jpg,1.09722,1
00149.jpg,1.12064,0
00151.jpg,1.07452,0
00153.jpg,1.05675,1
00155.jpg,1.19533,1
00157.jpg,1.09802,0
00159.jpg,1.16398,1
00161.jpg,1.07522,1
00163.jpg,1.23354,1
00165.jpg,1.08834,0
00167.jpg,1.10429,1
00169.jpg,1.03993,1
00171.jpg,1.07533,0
00173.jpg,1.07492,1
00175.jpg,1.07791,1
00177.jpg,1.10877,1
00179.jpg,1.09346,1
00181.jpg,1.13513,1
00183.jpg,1.10191,1
00185.jpg,1.05627,1
00187.jpg,1.11408,1
00189.jpg,1.10886,1
00191.jpg,1.12971,1
00193.jpg,1.07087,0
00195.jpg,1.05242,1
00197.jpg,1.06409,1
00199.jpg,1.17565,1
00201.jpg,1.00083,0
00203.jpg,0.999513,1
00205.jpg,1.01649,0
00207.jpg,1.06777,1
00209.jpg,1.06392,1
00211.jpg,1.12035,0
00213.jpg,1.127,1
00215.jpg,1.09641,0
00217.jpg,1.02909,0
00219.jpg,1.01434,1
00221.jpg,1.16718,1
00223.jpg,1.035,1
00225.jpg,1.10847,0
00227.jpg,0.989081,0
00229.jpg,1.08968,1
00231.jpg,1.09109,1
00233.jpg,1.06832,1
00235.jpg,1.02372,1
00237.jpg,1.126,1
00239.jpg,1.13765,1
00241.jpg,1.1079,1
00243.jpg,1.09206,1
00245.jpg,1.0428,1
00247.jpg,1.06883,1
00249.jpg,1.10651,0
00251.jpg,1.08389,1
00253.jpg,1.08054,1
00255.jpg,1.02934,1
00257.jpg,1.06116,1
00259.jpg,1.07837,1
00261.jpg,1.05736,1
00263.jpg,1.11746,1
00265.jpg,1.06923,1
00267.jpg,1.1749,0
00269.jpg,1.1345,1
00271.jpg,1.07665,1
00273.jpg,1.11002,0
00275.jpg,1.10823,1
00277.jpg,1.0874,0
00279.jpg,1.1082,1
00281.jpg,1.04488,1
00283.jpg,1.02474,1
00285.jpg,1.1258,1
00287.jpg,1.09937,1
00289.jpg,1.11904,0
00291.jpg,1.06498,0
00293.jpg,1.0845,1
00295.jpg,1.09426,1
00297.jpg,1.09701,1
00299.jpg,1.08014,1
00301.jpg,1.12603,1
00303.jpg,1.10535,1
00305.jpg,1.08528,0
00307.jpg,1.05665,0
00309.jpg,1.14627,1
00311.jpg,1.08389,1
00313.jpg,1.06848,1
00315.jpg,1.04304,0
00317.jpg,1.12736,0
00319.jpg,1.11994,1
00321.jpg,1.09628,1
00323.jpg,1.12168,1
00325.jpg,1.09666,1
00327.jpg,1.09317,1
00329.jpg,1.11789,1
00331.jpg,1.08569,1
00333.jpg,1.11415,0
00335.jpg,1.1264,0
00337.jpg,1.0738,0
00339.jpg,1.14686,1
00341.jpg,1.08737,1
