image,result,label
00001.jpg,1.02377,0
00003.jpg,0.996692,0
00005.jpg,0.998304,0
00007.jpg,0.982845,0
00009.jpg,0.999829,0
00011.jpg,0.994472,0
00013.jpg,0.990072,1
00015.jpg,0.986353,0
00017.jpg,0.99182,1
00019.jpg,0.99593,1
00021.jpg,0.973913,1
00023.jpg,1.00648,0
00025.jpg,0.995122,0
00027.jpg,1.00467,0
00029.jpg,1.00571,0
00031.jpg,1.00858,0
00033.jpg,1.00443,0
00035.jpg,1.01609,0
00037.jpg,0.983314,0
00039.jpg,0.98834,0
00041.jpg,0.998417,0
00043.jpg,0.997571,0
00045.jpg,0.999059,0
00047.jpg,0.997757,0
00049.jpg,0.999297,0
00051.jpg,1.00314,0
00053.jpg,1.00664,0
00055.jpg,0.986721,0
00057.jpg,0.9915,1
00059.jpg,0.98203,0
00061.jpg,0.991711,0
00063.jpg,0.98909,1
00065.jpg,0.999799,0
00067.jpg,0.994961,0
00069.jpg,0.99633,0
00071.jpg,0.983637,0
00073.jpg,0.96458,0
00075.jpg,1.01363,0
00077.jpg,0.990549,0
00079.jpg,0.991567,0
00081.jpg,0.975146,0
00083.jpg,1.00348,0
00085.jpg,0.992888,0
00087.jpg,0.98578,0
00089.jpg,0.989672,0
00091.jpg,0.988963,0
00093.jpg,0.995547,0
00095.jpg,0.993103,0
00097.jpg,0.980934,1
00099.jpg,0.998089,1
00101.jpg,0.996004,0
00103.jpg,0.999403,0
00105.jpg,0.999195,0
00107.jpg,0.999815,1
00109.jpg,0.951525,0
00111.jpg,0.969604,1
00113.jpg,0.989747,0
00115.jpg,0.995987,0
00117.jpg,0.984829,1
00119.jpg,0.982416,1
00121.jpg,1.00228,0
00123.jpg,1.0061,0
00125.jpg,0.998449,0
00127.jpg,1.00021,1
00129.jpg,0.993326,0
00131.jpg,0.9996,0
00133.jpg,0.979466,1
00135.jpg,0.981842,1
00137.jpg,0.999997,1
00139.jpg,1.00776,0
00141.jpg,0.976496,0
00143.jpg,1.00521,0
00145.jpg,0.991169,1
00147.jpg,0.978707,0
00149.jpg,1.00475,0
00151.jpg,0.987239,1
00153.jpg,0.995943,0
00155.jpg,0.992936,0
00157.jpg,1.00895,0
00159.jpg,0.991199,0
00161.jpg,0.990553,1
00163.jpg,0.988074,0
00165.jpg,1.01517,0
00167.jpg,1.00847,0
00169.jpg,1.00086,0
00171.jpg,1.0125,0
00173.jpg,0.98752,1
00175.jpg,0.993415,0
00177.jpg,0.999041,1
00179.jpg,0.986612,0
00181.jpg,0.998555,1
00183.jpg,1.00163,1
00185.jpg,1.00286,1
00187.jpg,0.994656,0
00189.jpg,0.995459,0
00191.jpg,1.00758,1
00193.jpg,0.994835,0
00195.jpg,1.00115,1
00197.jpg,1.00194,0
00199.jpg,0.971263,1
00201.jpg,1.00043,0
00203.jpg,1.00021,0
00205.jpg,0.997075,0
00207.jpg,0.99849,0
00209.jpg,0.989009,0
00211.jpg,0.991845,0
00213.jpg,0.995024,0
00215.jpg,0.998507,0
00217.jpg,1.00337,1
00219.jpg,1.00126,1
00221.jpg,0.993362,0
00223.jpg,0.998263,0
00225.jpg,1.00195,0
00227.jpg,1.00943,0
00229.jpg,0.993162,1
00231.jpg,0.98422,1
00233.jpg,0.99614,0
00235.jpg,0.998089,0
00237.jpg,0.979216,0
00239.jpg,0.984469,0
00241.jpg,0.991485,0
00243.jpg,0.992326,1
00245.jpg,1.00429,0
00247.jpg,1.00912,0
00249.jpg,0.989113,0
00251.jpg,0.987098,1
00253.jpg,0.998517,0
00255.jpg,0.996324,0
00257.jpg,0.99793,1
00259.jpg,1.00159,1
00261.jpg,0.999467,1
00263.jpg,0.989352,0
00265.jpg,0.997238,0
00267.jpg,0.980841,0
00269.jpg,0.99691,0
00271.jpg,1.00606,0
00273.jpg,0.994785,0
00275.jpg,0.980375,1
00277.jpg,0.986221,0
00279.jpg,0.991057,0
00281.jpg,0.997289,0
00283.jpg,0.995562,0
00285.jpg,0.996236,0
00287.jpg,0.993249,1
00289.jpg,0.984053,0
00291.jpg,1.01299,0
00293.jpg,0.987674,1
00295.jpg,0.982418,1
00297.jpg,0.987714,0
00299.jpg,0.984114,0
00301.jpg,0.993464,0
00303.jpg,0.990025,0
00305.jpg,0.994049,0
00307.jpg,0.99871,0
00309.jpg,1.0109,0
00311.jpg,0.993325,0
00313.jpg,0.995622,1
00315.jpg,0.994631,0
00317.jpg,0.971088,0
00319.jpg,0.996888,0
00321.jpg,0.978395,1
00323.jpg,0.977896,1
00325.jpg,0.986992,1
00327.jpg,0.981221,0
00329.jpg,0.998938,1
00331.jpg,0.999303,0
00333.jpg,0.982487,0
00335.jpg,0.991583,0
00337.jpg,0.994969,1
00339.jpg,0.987563,1
00341.jpg,0.98742,0
00343.jpg,0.993258,0
00345.jpg,1.00628,0
00347.jpg,1.00115,0
00349.jpg,0.997235,0
00351.jpg,1.00255,0
00353.jpg,0.980403,0
00355.jpg,0.983699,0
00357.jpg,0.991798,0
00359.jpg,1.01002,0
00361.jpg,1.0025,1
00363.jpg,0.9752,1
00365.jpg,0.968804,1
00367.jpg,1.00115,0
00369.jpg,0.995549,0
00371.jpg,0.980365,0
00373.jpg,0.995431,0
00375.jpg,0.996333,0
00377.jpg,0.992364,0
00379.jpg,0.988113,0
00381.jpg,0.995716,0
00383.jpg,0.993971,0
00385.jpg,0.966192,1
00387.jpg,0.956986,1
00389.jpg,0.999659,0
00391.jpg,0.985403,1
00393.jpg,0.98997,0
00395.jpg,1.01892,0
00397.jpg,0.992616,0
00399.jpg,1.01398,0
00401.jpg,0.975073,0
00403.jpg,1.01012,0
00405.jpg,0.99883,0
00407.jpg,1.00031,0
00409.jpg,0.989491,0
00411.jpg,1.00291,0
00413.jpg,0.979892,1
00415.jpg,0.992381,1
00417.jpg,0.984698,0
00419.jpg,1.00069,0
00421.jpg,0.997733,0
00423.jpg,0.994723,0
00425.jpg,0.956715,0
00427.jpg,0.966587,1
00429.jpg,0.993008,0
00431.jpg,1.0088,0
00433.jpg,0.994587,0
00435.jpg,0.979885,0
00437.jpg,1.0032,0
00439.jpg,1.00168,0
00441.jpg,1.00077,0
00443.jpg,1.00242,0
00445.jpg,1.00864,0
00447.jpg,0.993636,0
00449.jpg,0.986213,0
00451.jpg,0.98996,0
00453.jpg,0.995877,0
00455.jpg,1.01661,0
00457.jpg,0.988998,0
00459.jpg,0.993567,0
00461.jpg,0.986175,1
00463.jpg,0.992427,0
00465.jpg,0.985976,1
00467.jpg,0.995146,0
00469.jpg,1.0031,0
00471.jpg,0.980033,0
00473.jpg,0.99102,0
00475.jpg,0.991409,0
00477.jpg,0.996917,0
00479.jpg,0.98902,1
00481.jpg,0.999798,0
00483.jpg,0.988453,0
00485.jpg,0.984425,0
00487.jpg,0.989539,0
00489.jpg,1.00031,0
00491.jpg,0.99719,0
00493.jpg,0.991449,0
00495.jpg,0.998214,0
00497.jpg,0.965451,1
00499.jpg,0.99423,0
00501.jpg,0.996737,0
00503.jpg,0.989079,1
00505.jpg,0.98794,1
00507.jpg,0.982921,0
00509.jpg,0.99333,0
00511.jpg,1.0087,0
00513.jpg,0.994631,1
00515.jpg,0.994833,0
00517.jpg,0.997679,0
00519.jpg,0.993878,1
00521.jpg,0.996292,1
00523.jpg,0.987506,1
00525.jpg,0.979336,0
00527.jpg,0.984804,1
00529.jpg,0.999601,0
00531.jpg,1.00693,0
00533.jpg,0.990381,0
00535.jpg,1.02356,0
00537.jpg,1.00103,0
00539.jpg,0.99426,0
00541.jpg,0.96381,1
00543.jpg,0.972184,1
00545.jpg,0.994694,0
00547.jpg,0.971143,0
00549.jpg,1.0089,0
00551.jpg,1.00117,1
00553.jpg,1.00397,0
00555.jpg,0.999927,0
00557.jpg,0.952428,1
00559.jpg,0.990493,0
00561.jpg,1.00639,0
00563.jpg,0.991968,0
00565.jpg,0.97215,1
00567.jpg,0.994796,0
00569.jpg,0.985769,1
00571.jpg,0.989026,0
00573.jpg,1.00002,0
00575.jpg,0.997986,0
00577.jpg,0.986906,0
00579.jpg,0.993403,1
00581.jpg,0.99509,1
00583.jpg,0.997107,1
00585.jpg,0.982845,0
00587.jpg,1.00348,0
00589.jpg,0.998594,0
00591.jpg,0.975618,0
00593.jpg,1.00085,1
00595.jpg,0.990132,0
00597.jpg,0.995433,0
00599.jpg,1.01025,0
00601.jpg,0.998612,1
00603.jpg,1.00105,1
00605.jpg,0.990186,0
00607.jpg,0.984583,0
00609.jpg,1.00179,0
00611.jpg,0.989756,1
00613.jpg,0.983212,1
00615.jpg,0.9775,0
00617.jpg,0.997663,1
00619.jpg,0.99837,0
00621.jpg,0.989171,1
00623.jpg,0.997544,1
00625.jpg,1.00126,0
00627.jpg,1.00447,0
00629.jpg,0.996838,1
00631.jpg,0.997817,0
00633.jpg,0.996373,0
00635.jpg,0.999702,0
00637.jpg,0.989625,0
00639.jpg,1.01394,1
00641.jpg,1.0048,0
00643.jpg,1.00037,0
00645.jpg,0.997122,1
00647.jpg,0.999522,0
00649.jpg,1.00443,0
00651.jpg,0.989069,1
00653.jpg,0.990207,0
00655.jpg,0.983197,0
00657.jpg,0.999509,0
00659.jpg,1.00417,0
00661.jpg,0.989325,0
00663.jpg,0.998523,0
00665.jpg,0.973718,0
00667.jpg,1.00184,0
00669.jpg,1.00799,0
00671.jpg,1.00709,0
00673.jpg,0.991142,0
00675.jpg,0.995163,0
00677.jpg,0.983799,0
00679.jpg,1.00007,0
00681.jpg,1.00528,0
00683.jpg,1.00523,0
00685.jpg,0.996046,1
00687.jpg,0.995791,1
00689.jpg,0.999805,1
00691.jpg,0.989417,1
00693.jpg,0.987231,0
00695.jpg,0.998458,0
00697.jpg,1.01771,0
00699.jpg,0.988159,0
00701.jpg,1.02889,0
00703.jpg,0.968236,1
00705.jpg,0.993534,0
00707.jpg,0.979527,1
00709.jpg,0.997657,0
00711.jpg,0.978813,1
00713.jpg,0.987916,0
00715.jpg,0.982549,0
00717.jpg,1.0029,0
00719.jpg,0.994865,1
00721.jpg,0.988328,0
00723.jpg,1.00229,0
00725.jpg,0.991311,0
00727.jpg,1.00389,0
00729.jpg,1.00024,1
00731.jpg,0.999811,0
00733.jpg,0.982168,0
00735.jpg,0.993628,0
00737.jpg,1.00033,1
00739.jpg,0.981796,1
00741.jpg,0.980951,1
00743.jpg,0.995639,1
00745.jpg,0.99554,0
00747.jpg,0.999603,0
00749.jpg,0.995738,0
00751.jpg,0.987258,1
00753.jpg,0.981103,1
00755.jpg,0.993702,1
00757.jpg,0.999262,0
00759.jpg,0.990949,0
00761.jpg,0.98244,0
00763.jpg,0.985604,0
00765.jpg,0.982283,0
00767.jpg,0.998253,0
00769.jpg,0.979198,0
00771.jpg,0.997637,0
00773.jpg,0.997123,0
00775.jpg,0.989979,0
00777.jpg,0.999521,0
00779.jpg,0.990943,0
00781.jpg,0.991485,0
00783.jpg,0.998549,1
00785.jpg,0.986342,0
00787.jpg,0.976918,1
00789.jpg,0.990295,0
00791.jpg,0.934764,1
00793.jpg,0.999325,0
00795.jpg,1.00611,0
00797.jpg,0.993914,0
00799.jpg,1.00131,0
00801.jpg,0.998758,0
00803.jpg,0.977022,1
00805.jpg,0.987873,1
00807.jpg,1.00021,0
00809.jpg,1.01253,0
00811.jpg,0.992387,0
00813.jpg,1.00289,0
00815.jpg,0.98742,1
00817.jpg,0.989154,0
00819.jpg,0.99243,1
00821.jpg,0.991401,1
00823.jpg,0.999057,0
00825.jpg,1.00078,0
00827.jpg,0.986116,0
00829.jpg,0.99028,0
00831.jpg,0.992987,0
00833.jpg,1.01442,0
00835.jpg,0.998513,0
00837.jpg,0.992698,1
00839.jpg,1.00448,0
00841.jpg,0.997589,1
00843.jpg,1.00084,1
00845.jpg,0.997162,1
00847.jpg,0.998537,1
00849.jpg,0.988137,0
00851.jpg,0.981502,0
00853.jpg,1.00402,0
00855.jpg,0.984038,0
00857.jpg,0.999943,1
00859.jpg,0.978941,0
00861.jpg,0.97759,0
00863.jpg,0.989544,0
00865.jpg,0.982593,0
00867.jpg,1.0076,0
00869.jpg,0.986909,0
00871.jpg,1.00325,0
00873.jpg,0.982426,0
00875.jpg,1.00036,0
00877.jpg,0.986206,0
00879.jpg,0.957735,0
00881.jpg,0.975885,0
00883.jpg,0.980962,0
00885.jpg,1.02024,0
00887.jpg,0.979288,0
00889.jpg,1.01107,0
00891.jpg,0.986791,0
00893.jpg,0.990949,0
00895.jpg,0.990635,0
00897.jpg,0.999082,0
00899.jpg,1.00215,0
00901.jpg,0.992662,0
00903.jpg,0.965075,1
00905.jpg,0.988161,0
00907.jpg,0.976971,0
00909.jpg,0.998948,1
00911.jpg,0.99057,1
00913.jpg,0.987899,0
00915.jpg,0.998484,0
00917.jpg,0.981735,0
00919.jpg,0.981298,0
00921.jpg,0.984704,0
00923.jpg,0.993008,0
00925.jpg,0.999368,0
00927.jpg,0.990637,0
00929.jpg,0.999219,1
00931.jpg,1.01693,1
00933.jpg,0.998666,0
00935.jpg,0.994857,0
00937.jpg,0.989202,0
00939.jpg,1.0024,0
00941.jpg,0.992183,0
00943.jpg,1.0105,0
00945.jpg,1.00353,0
00947.jpg,0.979424,1
00949.jpg,0.98168,1
00951.jpg,0.961602,0
00953.jpg,0.982283,0
00955.jpg,0.977872,1
00957.jpg,0.995,0
00959.jpg,0.983964,0
00961.jpg,1.00398,0
00963.jpg,1.00132,0
00965.jpg,0.996829,0
00967.jpg,1.00723,0
00969.jpg,0.991835,1
00971.jpg,1.00495,0
00973.jpg,0.983586,0
00975.jpg,0.988422,0
00977.jpg,1.00845,0
00979.jpg,0.930719,1
00981.jpg,0.998986,0
00983.jpg,0.999283,0
00985.jpg,1.00086,0
00987.jpg,0.990394,0
00989.jpg,0.974299,1
00991.jpg,0.9608,0
00993.jpg,0.992704,0
00995.jpg,0.999146,0
00997.jpg,1.00345,0
00999.jpg,0.993666,0
01001.jpg,0.992161,1
01003.jpg,0.994941,1
01005.jpg,0.996496,0
01007.jpg,0.993971,0
01009.jpg,0.982941,1
01011.jpg,0.992775,1
01013.jpg,0.98818,0
01015.jpg,0.931024,0
01017.jpg,0.985688,0
01019.jpg,0.983508,0
01021.jpg,0.992079,0
01023.jpg,1.00134,0
01025.jpg,0.986669,0
01027.jpg,0.999596,1
01029.jpg,0.991193,0
01031.jpg,0.997962,0
01033.jpg,0.978863,0
01035.jpg,0.998838,0
01037.jpg,0.987487,0
01039.jpg,0.983454,0
01041.jpg,0.983755,0
01043.jpg,1.00289,0
01045.jpg,0.999867,0
01047.jpg,0.979687,0
01049.jpg,0.99982,0
01051.jpg,0.984105,1
01053.jpg,0.988236,0
01055.jpg,0.991944,0
01057.jpg,1.00121,0
01059.jpg,0.966548,0
01061.jpg,0.970478,0
01063.jpg,0.969241,1
01065.jpg,0.959144,1
01067.jpg,0.995076,0
01069.jpg,0.984891,1
01071.jpg,0.994251,1
01073.jpg,0.997382,0
01075.jpg,0.996385,1
01077.jpg,1.00232,1
01079.jpg,0.950891,1
01081.jpg,0.997625,0
01083.jpg,0.995844,0
01085.jpg,0.995108,0
01087.jpg,0.993973,1
01089.jpg,0.970847,1
01091.jpg,0.982791,0
01093.jpg,1.0041,0
01095.jpg,1.01428,0
01097.jpg,0.982385,0
01099.jpg,0.993356,0
01101.jpg,0.994226,0
01103.jpg,0.991042,0
01105.jpg,0.99249,0
01107.jpg,0.996293,0
01109.jpg,1.00472,0
01111.jpg,1.00112,0
01113.jpg,1.00473,0
01115.jpg,0.999068,0
01117.jpg,1.00092,0
01119.jpg,1.00053,0
01121.jpg,0.993531,0
01123.jpg,0.974722,0
01125.jpg,0.981177,1
01127.jpg,0.990136,1
01129.jpg,0.983655,0
01131.jpg,0.962389,0
01133.jpg,1.0014,0
01135.jpg,0.991179,0
01137.jpg,0.997611,1
01139.jpg,0.996755,0
01141.jpg,0.996924,0
01143.jpg,0.991967,0
01145.jpg,0.980265,1
01147.jpg,0.9912,1
01149.jpg,0.969851,1
01151.jpg,0.988153,1
01153.jpg,1.00141,0
01155.jpg,0.996258,1
