image,result,label
00001.jpg,0.499092,0
00003.jpg,0.189546,1
00005.jpg,0.998693,0
00007.jpg,0.894829,1
00009.jpg,-0.784621,0
00011.jpg,1.05313,0
00013.jpg,0.649454,0
00015.jpg,1.18765,0
00017.jpg,0.303727,0
00019.jpg,0.811556,0
00021.jpg,1.33111,0
00023.jpg,0.151181,0
00025.jpg,0.319273,0
00027.jpg,-0.0964055,1
00029.jpg,0.295163,1
00031.jpg,0.289093,0
00033.jpg,0.297475,1
00035.jpg,0.33311,0
00037.jpg,0.681397,1
00039.jpg,0.705318,1
00041.jpg,-0.724066,0
00043.jpg,-0.71348,0
00045.jpg,-0.142099,1
00047.jpg,0.657919,0
00049.jpg,0.229445,0
00051.jpg,0.344334,0
00053.jpg,0.538651,0
00055.jpg,0.439146,1
00057.jpg,0.987263,0
00059.jpg,0.974876,1
00061.jpg,0.777606,0
00063.jpg,0.736914,0
00065.jpg,0.689697,0
00067.jpg,0.95823,1
00069.jpg,0.518397,1
00071.jpg,0.210826,0
00073.jpg,1.09958,0
00075.jpg,-0.0661308,1
00077.jpg,0.693699,0
00079.jpg,0.982443,1
00081.jpg,0.978215,0
00083.jpg,1.00947,0
00085.jpg,0.489176,1
00087.jpg,0.968257,0
00089.jpg,1.06696,1
00091.jpg,0.161525,0
00093.jpg,0.258494,0
00095.jpg,0.945568,0
00097.jpg,0.950432,0
00099.jpg,0.0369502,1
00101.jpg,-0.560081,0
00103.jpg,-0.58164,1
00105.jpg,-0.490715,0
00107.jpg,0.806178,1
00109.jpg,1.17378,1
00111.jpg,1.10914,1
00113.jpg,0.896847,0
00115.jpg,0.428408,1
00117.jpg,0.501271,0
00119.jpg,0.737352,1
00121.jpg,0.106797,1
00123.jpg,0.446859,1
00125.jpg,0.571576,0
00127.jpg,0.701903,1
00129.jpg,0.943159,1
00131.jpg,-0.173466,0
00133.jpg,0.923215,1
00135.jpg,0.982478,0
00137.jpg,0.555277,1
00139.jpg,0.581608,0
00141.jpg,0.782464,0
00143.jpg,0.468981,0
00145.jpg,1.04202,1
00147.jpg,1.14383,1
00149.jpg,0.787575,1
00151.jpg,0.792233,0
00153.jpg,0.719665,1
00155.jpg,0.884225,1
00157.jpg,0.496934,0
00159.jpg,0.601247,0
00161.jpg,0.507486,0
00163.jpg,1.23208,1
00165.jpg,0.102796,0
00167.jpg,0.917541,0
00169.jpg,0.0446183,0
00171.jpg,0.234797,0
00173.jpg,0.731396,1
00175.jpg,0.579422,1
00177.jpg,0.847187,1
00179.jpg,0.532152,1
00181.jpg,0.968743,0
00183.jpg,0.620256,0
00185.jpg,0.720914,0
00187.jpg,0.960689,1
00189.jpg,1.13744,0
00191.jpg,1.03357,0
00193.jpg,0.209213,0
00195.jpg,0.528719,1
00197.jpg,1.10407,1
00199.jpg,1.06898,0
00201.jpg,-0.505696,0
00203.jpg,-0.691281,0
00205.jpg,0.268276,0
00207.jpg,0.463871,0
00209.jpg,0.676387,0
00211.jpg,1.24486,1
00213.jpg,0.934208,1
00215.jpg,0.378968,1
00217.jpg,0.203715,0
00219.jpg,-0.19146,0
00221.jpg,1.30666,1
00223.jpg,-0.120086,1
00225.jpg,0.893852,1
00227.jpg,0.208103,1
00229.jpg,0.650392,1
00231.jpg,0.74537,1
00233.jpg,0.631551,1
00235.jpg,-0.366731,1
00237.jpg,0.969588,1
00239.jpg,1.0849,1
00241.jpg,0.736138,1
00243.jpg,0.788002,1
00245.jpg,0.352923,1
00247.jpg,1.05378,0
00249.jpg,0.798639,0
00251.jpg,0.761878,1
00253.jpg,0.639003,1
00255.jpg,-0.0944271,1
00257.jpg,0.449778,0
00259.jpg,0.709505,0
00261.jpg,0.218966,0
00263.jpg,0.979596,1
00265.jpg,0.392441,0
00267.jpg,1.02235,0
00269.jpg,0.810012,0
00271.jpg,0.770155,0
00273.jpg,1.08486,1
00275.jpg,0.627556,1
00277.jpg,0.899187,0
00279.jpg,0.412589,1
00281.jpg,0.0119345,0
00283.jpg,-0.128334,0
00285.jpg,0.555995,1
00287.jpg,0.896932,0
00289.jpg,0.908851,0
00291.jpg,0.23201,0
00293.jpg,0.998613,0
00295.jpg,1.08862,0
00297.jpg,0.466177,0
00299.jpg,0.40001,1
00301.jpg,1.02364,1
00303.jpg,0.819629,1
00305.jpg,1.11219,0
00307.jpg,0.569982,0
00309.jpg,0.82938,1
00311.jpg,0.266553,1
00313.jpg,0.521168,1
00315.jpg,0.674253,0
00317.jpg,0.971853,0
00319.jpg,0.797028,1
00321.jpg,0.913233,0
00323.jpg,1.09976,1
00325.jpg,1.16627,0
00327.jpg,0.749309,0
00329.jpg,0.652922,1
00331.jpg,0.0616135,1
00333.jpg,0.0349661,1
00335.jpg,1.08815,0
00337.jpg,0.740856,0
00339.jpg,1.03745,0
00341.jpg,1.2473,1
00343.jpg,0.837296,1
00345.jpg,0.285619,1
00347.jpg,-0.0553415,0
00349.jpg,-0.206948,0
00351.jpg,0.091995,0
00353.jpg,1.14579,1
00355.jpg,0.303167,1
00357.jpg,1.16594,0
00359.jpg,0.897505,0
00361.jpg,0.715379,0
00363.jpg,0.941742,1
00365.jpg,1.15311,1
00367.jpg,0.171099,0
00369.jpg,0.0143283,1
00371.jpg,0.803168,1
00373.jpg,0.517613,1
00375.jpg,0.674572,0
00377.jpg,0.652222,0
00379.jpg,0.707708,1
00381.jpg,0.462147,1
00383.jpg,0.465815,1
00385.jpg,1.22057,0
00387.jpg,1.23121,1
00389.jpg,0.0934274,0
00391.jpg,1.09546,0
00393.jpg,0.786813,0
00395.jpg,0.547389,0
00397.jpg,1.08795,1
00399.jpg,0.461783,1
00401.jpg,0.744119,0
00403.jpg,0.161993,1
00405.jpg,0.794246,0
00407.jpg,-0.33355,1
00409.jpg,0.903011,1
00411.jpg,0.045483,0
00413.jpg,0.390253,0
00415.jpg,0.629304,0
00417.jpg,0.89138,1
00419.jpg,1.18918,1
00421.jpg,0.394863,1
00423.jpg,0.888004,0
