image,result,label
00001.jpg,0.990058,0
00003.jpg,0.986203,0
00005.jpg,1.00036,1
00007.jpg,1.00176,1
00009.jpg,0.930644,0
00011.jpg,1.00379,0
00013.jpg,0.997292,0
00015.jpg,1.00208,1
00017.jpg,0.99978,1
00019.jpg,1.00205,0
00021.jpg,1.00516,0
00023.jpg,0.982823,0
00025.jpg,0.998436,0
00027.jpg,0.996101,1
00029.jpg,1.00434,1
00031.jpg,0.992536,1
00033.jpg,1.00277,1
00035.jpg,0.998826,1
00037.jpg,1.00331,1
00039.jpg,0.997151,1
00041.jpg,0.951963,0
00043.jpg,0.960577,0
00045.jpg,1.01006,1
00047.jpg,1.00234,1
00049.jpg,1.00284,1
00051.jpg,1,1
00053.jpg,1.00015,0
00055.jpg,0.993844,0
00057.jpg,1.00019,1
00059.jpg,1.00281,1
00061.jpg,1.00375,0
00063.jpg,1.00486,0
00065.jpg,0.999706,0
00067.jpg,0.9974,1
00069.jpg,1.00914,1
00071.jpg,1.00863,0
00073.jpg,1.00327,0
00075.jpg,0.995363,1
00077.jpg,1.00099,1
00079.jpg,1.0003,0
00081.jpg,1.00383,1
00083.jpg,0.995272,0
00085.jpg,0.999125,1
00087.jpg,0.996121,1
00089.jpg,1.00312,0
00091.jpg,1.00349,1
00093.jpg,1.00286,0
00095.jpg,1.00252,1
00097.jpg,0.994217,1
00099.jpg,0.975767,1
00101.jpg,0.937589,1
00103.jpg,0.915612,0
00105.jpg,0.925952,1
00107.jpg,0.997915,1
00109.jpg,1.00019,1
00111.jpg,1.0014,1
00113.jpg,1.00158,1
00115.jpg,0.995368,1
00117.jpg,0.995214,1
00119.jpg,0.998212,1
00121.jpg,0.995783,1
00123.jpg,0.994844,0
00125.jpg,1.00125,0
00127.jpg,1.00236,1
00129.jpg,0.997032,0
00131.jpg,0.988592,0
00133.jpg,0.997099,1
00135.jpg,0.996771,1
00137.jpg,0.998292,1
00139.jpg,0.998064,1
00141.jpg,0.999476,1
00143.jpg,1.00024,0
00145.jpg,0.997768,1
00147.jpg,1.00002,1
00149.jpg,0.999488,1
00151.jpg,1.00482,0
00153.jpg,0.997517,0
00155.jpg,1.00941,1
00157.jpg,0.995767,0
00159.jpg,0.998238,1
00161.jpg,0.995996,1
00163.jpg,0.997719,1
00165.jpg,1.00473,1
00167.jpg,0.995057,1
00169.jpg,1.00133,1
00171.jpg,0.998422,1
00173.jpg,0.998758,1
00175.jpg,0.996564,1
00177.jpg,1.00239,1
00179.jpg,0.99878,0
00181.jpg,1.00243,0
00183.jpg,0.994933,1
00185.jpg,0.997502,1
00187.jpg,1.0021,1
00189.jpg,1.00535,1
00191.jpg,0.998738,1
00193.jpg,1.00097,0
00195.jpg,0.983388,1
00197.jpg,0.996453,0
00199.jpg,0.99696,0
00201.jpg,1.00175,1
00203.jpg,0.993841,1
00205.jpg,1.00343,0
00207.jpg,0.986345,0
00209.jpg,1.0031,0
00211.jpg,0.99974,0
00213.jpg,1.00197,0
00215.jpg,1.00607,1
00217.jpg,0.999151,0
00219.jpg,0.955617,0
00221.jpg,1.00481,1
00223.jpg,0.998379,0
00225.jpg,1.00141,1
00227.jpg,0.998904,1
00229.jpg,1.00493,1
00231.jpg,0.99585,1
00233.jpg,0.997315,1
00235.jpg,0.954688,1
00237.jpg,1.00056,1
00239.jpg,0.997643,1
00241.jpg,0.995812,0
00243.jpg,0.994179,1
00245.jpg,1.00057,1
00247.jpg,0.998971,1
00249.jpg,0.999485,0
00251.jpg,1.00477,0
00253.jpg,0.992214,0
00255.jpg,0.995227,0
00257.jpg,0.992131,0
00259.jpg,0.996015,1
00261.jpg,0.982158,0
00263.jpg,0.989894,0
00265.jpg,0.987395,0
00267.jpg,1.00209,1
00269.jpg,1.00697,1
00271.jpg,1.00448,1
00273.jpg,1.00405,1
00275.jpg,1.00618,1
00277.jpg,1.00527,1
00279.jpg,0.993578,1
00281.jpg,0.981125,0
00283.jpg,0.992701,0
00285.jpg,0.994298,0
00287.jpg,0.998661,0
00289.jpg,0.997939,1
00291.jpg,0.984692,1
00293.jpg,1.00213,1
00295.jpg,0.999335,1
00297.jpg,0.997423,1
00299.jpg,1.00596,1
00301.jpg,1.00292,1
00303.jpg,1.008,1
00305.jpg,1.01024,0
00307.jpg,1.00043,1
00309.jpg,1.00539,1
00311.jpg,0.994788,1
00313.jpg,0.992229,1
00315.jpg,0.989156,0
00317.jpg,0.998725,0
00319.jpg,1.00464,1
00321.jpg,1.00087,1
00323.jpg,1.00037,1
00325.jpg,1.00085,1
00327.jpg,1.0051,1
00329.jpg,1.00674,1
00331.jpg,0.994298,0
00333.jpg,1.00044,1
00335.jpg,1.00872,1
00337.jpg,1.00701,1
00339.jpg,1.0032,1
00341.jpg,1.00111,1
00343.jpg,1.00027,1
00345.jpg,0.983997,1
00347.jpg,0.983757,1
00349.jpg,0.941785,1
00351.jpg,1.0088,1
00353.jpg,1.00173,1
00355.jpg,0.994766,1
00357.jpg,1.00026,1
00359.jpg,0.999443,1
00361.jpg,1.00049,1
00363.jpg,1.00098,1
00365.jpg,0.998774,1
00367.jpg,0.992246,0
00369.jpg,0.997388,1
00371.jpg,1.00004,1
00373.jpg,0.997716,1
00375.jpg,1.00639,1
00377.jpg,0.998369,0
00379.jpg,1.00589,1
00381.jpg,1.00588,1
00383.jpg,1.00057,1
00385.jpg,1.00285,1
00387.jpg,0.997398,1
00389.jpg,1.00509,1
00391.jpg,0.999743,0
00393.jpg,0.996595,0
00395.jpg,1.00486,1
00397.jpg,1.0008,0
00399.jpg,0.997342,1
00401.jpg,0.995314,0
00403.jpg,1.00468,1
00405.jpg,0.996029,1
00407.jpg,0.992685,0
00409.jpg,1.00378,1
00411.jpg,0.989302,0
00413.jpg,0.993027,1
00415.jpg,0.993147,1
00417.jpg,0.999596,0
00419.jpg,1.00546,1
00421.jpg,0.999612,1
00423.jpg,1.00007,1
00425.jpg,0.999796,1
00427.jpg,1.00076,1
00429.jpg,1.00018,1
00431.jpg,1.00502,1
00433.jpg,0.991558,1
00435.jpg,1.00689,1
00437.jpg,1.00044,1
00439.jpg,0.942139,0
00441.jpg,0.937016,0
00443.jpg,0.945695,0
00445.jpg,0.986575,0
00447.jpg,1.00074,1
00449.jpg,1.00439,0
00451.jpg,0.993018,0
00453.jpg,0.996878,0
00455.jpg,0.999851,1
00457.jpg,0.997684,1
00459.jpg,0.992111,1
00461.jpg,1.00236,1
00463.jpg,0.982893,1
00465.jpg,1.0099,1
00467.jpg,1.00025,1
00469.jpg,1.00674,1
00471.jpg,1.00067,0
00473.jpg,1.00346,0
00475.jpg,1.00424,1
00477.jpg,0.989614,1
00479.jpg,0.999772,1
00481.jpg,1.00125,0
00483.jpg,1.00023,1
00485.jpg,0.996516,1
00487.jpg,0.996512,1
00489.jpg,0.992315,1
00491.jpg,0.999708,1
00493.jpg,1.00201,0
00495.jpg,0.993909,1
00497.jpg,0.995037,0
00499.jpg,1.0043,1
00501.jpg,1.00266,1
00503.jpg,0.995631,0
00505.jpg,0.997764,1
00507.jpg,1.00419,1
00509.jpg,1.00461,1
00511.jpg,1.00518,1
00513.jpg,1.00045,0
00515.jpg,1.00458,0
00517.jpg,0.999832,1
00519.jpg,1.00429,1
00521.jpg,1.00028,1
00523.jpg,1.00006,0
00525.jpg,1.00296,1
00527.jpg,0.998703,1
00529.jpg,0.987904,1
00531.jpg,0.988115,1
00533.jpg,1.00126,0
00535.jpg,1.0124,1
00537.jpg,0.999831,1
00539.jpg,1.00016,1
00541.jpg,1.00088,1
00543.jpg,1.00361,1
00545.jpg,1.00766,1
00547.jpg,0.995795,1
00549.jpg,1.0007,1
00551.jpg,0.996368,1
00553.jpg,0.990434,1
00555.jpg,0.9879,0
00557.jpg,1.00164,1
00559.jpg,1.00234,1
00561.jpg,1.00145,1
00563.jpg,1.00293,1
00565.jpg,0.997009,0
00567.jpg,0.991428,1
00569.jpg,1.0024,1
00571.jpg,0.995538,1
00573.jpg,0.968061,0
00575.jpg,0.993445,0
00577.jpg,1.01385,0
00579.jpg,0.990401,1
00581.jpg,0.998124,0
00583.jpg,1.00069,1
00585.jpg,1.0043,0
00587.jpg,0.980499,1
00589.jpg,1.00427,1
00591.jpg,0.996928,0
00593.jpg,0.998758,0
00595.jpg,0.997074,1
00597.jpg,0.998859,1
00599.jpg,0.999585,0
00601.jpg,0.95881,1
00603.jpg,0.964629,1
00605.jpg,1.00632,1
00607.jpg,1.00415,1
00609.jpg,1.00148,1
00611.jpg,0.988751,1
00613.jpg,0.996457,1
00615.jpg,1.0004,0
00617.jpg,0.993848,0
00619.jpg,1.00013,1
00621.jpg,0.998508,1
00623.jpg,0.999317,1
00625.jpg,0.990751,1
00627.jpg,0.998835,1
00629.jpg,0.995604,1
00631.jpg,0.979893,1
00633.jpg,0.998023,1
00635.jpg,1.0007,1
00637.jpg,0.995681,1
00639.jpg,1.00439,1
00641.jpg,1.00347,1
00643.jpg,1.00083,1
00645.jpg,0.998319,1
00647.jpg,0.991818,1
00649.jpg,1.00341,1
00651.jpg,0.991944,1
00653.jpg,1.00525,0
00655.jpg,1.00129,1
00657.jpg,1.00216,1
00659.jpg,0.964552,1
00661.jpg,0.998053,1
00663.jpg,0.998234,1
00665.jpg,0.994298,0
